city,area,sqft,bhk,bathrooms,price
Hyderabad,Gachibowli,1267,3,2,10965000.0
Chennai,Pallavaram,1696,3,2,12395000.0
Hyderabad,Gachibowli,1198,3,3,11169000.0
Bangalore,Electronic City,3440,5,5,37374000.0
Delhi,Dwarka,1387,3,3,14551000.0
Chennai,Pallavaram,465,1,1,3027000.0
Mumbai,Borivali,525,1,1,6153000.0
Hyderabad,Miyapur,1800,3,3,10332000.0
Bangalore,Hebbal,699,1,1,9425000.0
Delhi,Rohini,1160,2,2,9233000.0
Hyderabad,Kukatpally,1620,4,4,11226000.0
Bangalore,Whitefield,498,1,1,5450000.0
Chennai,OMR,471,1,1,3847000.0
Mumbai,Lower Parel,2539,4,4,70053000.0
Delhi,Uttam Nagar,2554,4,4,17550000.0
Chennai,Ambattur,922,2,2,6209000.0
Chennai,Chromepet,753,2,2,5778000.0
Bangalore,Hebbal,977,2,1,14788000.0
Delhi,Greater Kailash,1020,2,1,16643000.0
Delhi,Rohini,1107,3,2,10235000.0
Bangalore,Whitefield,2771,4,3,43869000.0
Bangalore,Electronic City,2415,4,3,28270000.0
Chennai,Ambattur,1521,3,3,11141000.0
Hyderabad,Miyapur,981,2,1,5507000.0
Mumbai,Borivali,1146,3,3,15003000.0
Delhi,Saket,1077,2,2,13782000.0
Delhi,Rohini,1541,3,3,12749000.0
Mumbai,Andheri East,2182,4,4,46142000.0
Bangalore,Electronic City,1464,3,2,15099000.0
Mumbai,Andheri East,1756,4,4,35091000.0
Chennai,Chromepet,1111,3,3,9721000.0
Mumbai,Worli,1018,2,2,23594000.0
Chennai,Medavakkam,780,2,2,6656000.0
Delhi,Uttam Nagar,1332,3,3,7045000.0
Bangalore,Electronic City,2156,4,4,24285000.0
Chennai,Medavakkam,700,1,1,5746000.0
Hyderabad,Miyapur,1156,2,2,5842000.0
Bangalore,Electronic City,1341,3,3,12592000.0
Bangalore,Electronic City,1034,2,2,9323000.0
Mumbai,Andheri East,1381,3,3,24507000.0
Bangalore,Sarjapur Road,1184,2,1,13923000.0
Bangalore,Whitefield,3539,5,5,64043000.0
Bangalore,Hebbal,1245,3,2,20698000.0
Chennai,Medavakkam,1683,4,4,15162000.0
Mumbai,Worli,2750,4,4,85596000.0
Mumbai,Chembur,1114,2,1,16161000.0
Delhi,Dwarka,1690,3,3,16928000.0
Bangalore,Whitefield,1183,2,1,14355000.0
Delhi,Rohini,412,1,1,3096000.0
Mumbai,Worli,1279,3,2,32326000.0
Chennai,Pallavaram,1763,3,3,16722000.0
Hyderabad,Miyapur,551,1,1,2377000.0
Bangalore,Sarjapur Road,1226,3,3,16952000.0
Delhi,Dwarka,456,1,1,3574000.0
Bangalore,Sarjapur Road,932,2,2,10178000.0
Delhi,Saket,1133,3,3,17167000.0
Mumbai,Borivali,2324,4,4,36078000.0
Chennai,Medavakkam,965,2,1,8367000.0
Delhi,Greater Kailash,1083,2,2,15356000.0
Chennai,Chromepet,543,1,1,4120000.0
Chennai,OMR,946,2,2,9592000.0
Chennai,OMR,734,2,2,8587000.0
Chennai,Ambattur,1579,3,2,13103000.0
Bangalore,Electronic City,644,1,1,4723000.0
Bangalore,Whitefield,1703,4,3,25383000.0
Chennai,Pallavaram,915,2,2,6727000.0
Mumbai,Andheri East,818,2,2,13339000.0
Mumbai,Chembur,2543,4,4,44063000.0
Mumbai,Worli,1824,4,4,55975000.0
Bangalore,Yelahanka,1670,3,3,17961000.0
Mumbai,Lower Parel,809,2,2,18074000.0
Delhi,Greater Kailash,1128,2,2,16225000.0
Delhi,Greater Kailash,1745,3,2,31152000.0
Hyderabad,Kondapur,2449,4,4,21500000.0
Bangalore,Whitefield,632,1,1,7744000.0
Chennai,OMR,2855,5,4,34452000.0
Hyderabad,HITEC City,2317,4,4,23186000.0
Delhi,Greater Kailash,1750,3,3,22904000.0
Hyderabad,Kukatpally,488,1,1,2811000.0
Delhi,Dwarka,1497,3,3,16896000.0
Hyderabad,Gachibowli,2168,4,3,19627000.0
Hyderabad,Gachibowli,2431,4,4,24625000.0
Chennai,Medavakkam,1143,2,2,9582000.0
Hyderabad,Gachibowli,1038,2,2,8133000.0
Hyderabad,Kondapur,862,2,1,6321000.0
Bangalore,Sarjapur Road,1641,3,2,18522000.0
Delhi,Rohini,1475,3,3,13165000.0
Mumbai,Borivali,945,2,1,10133000.0
Delhi,Dwarka,3695,5,4,38949000.0
Delhi,Saket,940,2,2,11410000.0
Bangalore,Electronic City,1759,3,3,16116000.0
Mumbai,Andheri East,1677,4,3,32212000.0
Delhi,Dwarka,608,1,1,5002000.0
Mumbai,Andheri East,3437,5,4,81098000.0
Mumbai,Lower Parel,1345,3,3,32594000.0
Bangalore,Hebbal,936,2,2,11858000.0
Delhi,Rohini,930,2,1,6361000.0
Hyderabad,HITEC City,3325,5,5,39292000.0
Bangalore,Sarjapur Road,1534,3,3,18587000.0
Mumbai,Lower Parel,2983,5,5,81115000.0
Hyderabad,Kukatpally,1492,3,3,8307000.0
Bangalore,Whitefield,1037,2,2,12687000.0
Chennai,OMR,1012,2,2,10110000.0
Mumbai,Worli,922,2,1,19943000.0
Mumbai,Andheri East,1652,3,2,26685000.0
Chennai,Ambattur,968,2,2,7179000.0
Hyderabad,Kondapur,1002,2,2,6375000.0
Bangalore,Electronic City,1721,4,4,17789000.0
Bangalore,Whitefield,789,2,2,10057000.0
Mumbai,Worli,1110,3,3,28838000.0
Delhi,Saket,779,2,1,10637000.0
Bangalore,Yelahanka,1178,2,2,11171000.0
Delhi,Saket,1064,2,2,13213000.0
Hyderabad,Miyapur,703,2,2,3672000.0
Bangalore,Yelahanka,1499,3,3,17423000.0
Hyderabad,Miyapur,452,1,1,2197000.0
Bangalore,Whitefield,1048,2,2,14358000.0
Bangalore,Electronic City,3315,5,4,34696000.0
Mumbai,Andheri East,1184,3,2,21615000.0
Hyderabad,Kondapur,1387,3,2,11799000.0
Delhi,Saket,851,2,2,11562000.0
Mumbai,Andheri East,2538,4,4,46381000.0
Chennai,Medavakkam,1014,2,1,8601000.0
Mumbai,Lower Parel,682,1,1,15203000.0
Mumbai,Andheri East,2576,4,4,48923000.0
Hyderabad,Kukatpally,894,2,2,4737000.0
Hyderabad,Kondapur,583,1,1,3566000.0
Chennai,Ambattur,1631,3,3,11776000.0
Chennai,Medavakkam,913,2,2,7332000.0
Chennai,Ambattur,2624,4,3,25549000.0
Hyderabad,HITEC City,805,2,1,7302000.0
Mumbai,Borivali,2701,4,4,33750000.0
Hyderabad,Gachibowli,872,2,2,6418000.0
Mumbai,Lower Parel,857,2,2,19504000.0
Chennai,Ambattur,2503,4,4,21086000.0
Bangalore,Hebbal,1521,3,3,21726000.0
Bangalore,Sarjapur Road,993,2,1,11266000.0
Mumbai,Lower Parel,1017,2,2,25950000.0
Chennai,Chromepet,3630,5,4,35549000.0
Hyderabad,HITEC City,1069,2,1,10100000.0
